G1,G4,G8,G2,G6,G9,G5,G3,G7
57,38,479,43,26,725,27,52,48
51,52,481,42,55,625,31,57,55
45,39,455,68,29,721,18,40,40
63,24,460,55,24,693,25,46,55
53,37,516,47,28,727,15,45,51
58,39,447,53,32,860,22,61,51
56,34,476,48,35,788,21,52,49
45,25,535,41,43,814,15,41,49
52,29,498,63,33,706,26,55,49
52,22,509,65,26,932,26,50,49
47,26,519,63,29,695,28,56,50
60,26,508,50,20,541,21,41,60
50,35,452,43,17,869,24,47,46
50,39,480,48,32,867,16,56,65
51,39,481,74,34,858,17,42,49
47,36,438,54,27,751,27,49,48
57,55,517,52,28,705,22,47,41
66,41,473,50,29,604,28,52,43
43,37,518,49,45,604,23,58,64
70,39,495,49,27,697,23,39,53
48,36,508,44,40,698,17,47,41
56,44,458,44,24,781,21,51,48
51,50,454,47,30,866,25,57,49
36,42,487,42,34,833,24,52,47
45,39,504,47,32,838,31,56,41
77,47,477,52,38,614,23,46,48
53,38,486,46,32,709,20,53,55
53,26,529,55,35,738,22,51,58
51,54,514,45,32,606,26,39,37
43,47,509,57,42,644,21,51,59
48,42,430,70,23,625,23,40,53
31,40,532,52,49,730,21,52,50
47,25,497,57,29,713,23,58,57
47,41,480,57,20,726,26,44,53
59,43,510,46,49,719,32,44,68
54,26,441,58,25,702,20,47,43
46,50,494,57,27,722,27,46,58
44,35,502,65,32,820,25,46,67
54,37,486,42,28,804,21,42,39
51,44,488,46,33,766,24,49,53
43,39,502,54,26,706,17,43,56
38,28,569,58,19,716,19,55,44
81,27,505,55,25,703,16,49,53
41,45,512,56,40,887,16,54,60
58,36,474,59,39,749,16,39,56
39,32,509,47,23,630,28,43,50
48,40,455,54,31,848,23,60,46
43,28,498,50,44,536,22,47,49
43,27,547,50,22,709,21,57,52
38,31,514,47,31,677,24,54,42
60,29,503,61,27,863,18,53,36
52,39,482,56,28,710,15,59,41
55,64,496,56,33,694,29,41,59
51,30,479,60,20,730,26,56,50
48,46,512,49,31,718,15,39,55
50,47,472,60,33,698,22,54,42
49,34,521,45,38,624,20,50,56
40,40,523,45,47,599,25,49,46
56,38,496,63,26,866,20,64,50
48,30,494,57,35,726,22,57,31
69,53,541,48,41,682,25,48,42
60,36,446,48,30,575,21,40,45
53,31,498,49,19,721,26,59,57
47,41,477,54,22,733,27,53,46
40,47,490,54,33,860,21,42,66
55,33,494,60,34,684,19,45,48
55,38,547,57,26,610,25,45,44
56,36,480,58,26,714,28,41,50
54,26,558,48,30,577,23,56,66
51,31,553,54,21,859,24,57,61
49,49,528,51,32,746,18,61,53
44,39,482,65,36,881,15,52,44
49,42,494,49,23,583,20,52,58
57,33,484,43,29,688,16,49,51
52,46,480,58,40,595,25,42,43
61,35,472,49,38,724,23,46,61
53,35,480,53,31,614,22,46,48
43,47,451,47,39,865,23,57,56
65,28,455,57,37,781,24,52,45
41,36,491,46,28,827,19,45,42
48,40,478,51,28,592,14,57,54
41,45,498,58,31,615,31,59,44
37,36,482,52,26,738,31,50,58
49,38,517,66,26,735,21,44,39
50,37,488,47,29,710,10,47,43
47,32,484,59,21,819,11,31,55
49,26,523,49,20,742,19,49,52
69,42,549,52,34,880,27,47,43
44,40,470,53,34,715,28,41,49
56,38,542,48,19,730,28,61,39
56,40,469,51,47,687,32,59,55
45,38,509,53,24,732,21,62,56
47,29,517,55,18,746,21,62,52
59,21,462,59,27,765,22,52,49
54,47,450,58,57,742,23,58,60
44,33,496,59,23,713,22,56,50
34,39,513,57,37,747,23,46,51
62,39,547,47,21,653,15,40,52
43,55,502,58,42,599,23,47,54
56,40,503,63,33,750,12,37,53
58,38,532,46,18,713,20,44,61
47,39,551,52,17,719,14,42,46
59,42,495,46,34,852,20,45,59
55,58,511,68,44,617,26,52,57
56,40,522,66,22,721,31,49,53
47,25,467,49,31,587,21,43,53
55,29,489,46,22,658,16,53,50
66,45,469,51,29,660,25,55,37
44,39,471,61,35,704,25,38,60
49,29,520,53,24,750,16,46,62
47,30,554,44,35,889,22,44,44
34,53,535,52,41,700,19,51,53
47,57,489,53,37,729,16,39,44
50,57,495,64,30,686,24,45,47
44,38,511,50,27,827,16,55,40
49,38,479,48,29,691,29,47,42
50,28,501,54,25,815,24,52,61
30,33,525,80,38,785,20,47,71
53,42,500,52,37,842,29,50,37
60,27,470,60,27,815,25,52,48
40,61,501,50,33,745,28,48,36
57,44,498,49,36,954,23,32,47
46,43,475,64,23,711,21,57,54
58,56,496,36,39,771,11,52,69
49,31,480,41,30,715,24,52,50
56,37,529,50,42,715,22,51,51
38,33,495,56,22,881,19,51,50
30,30,465,50,30,697,14,48,40
39,36,454,44,33,760,20,54,44
58,45,493,49,32,604,16,49,56
60,66,489,65,26,685,20,55,51
57,41,473,45,37,710,30,48,45
44,36,466,46,23,697,29,50,52
52,33,474,46,35,742,18,40,40
35,44,534,56,43,924,24,51,39
56,39,532,61,34,853,23,39,49
53,33,498,59,32,716,17,56,59
49,28,498,53,23,821,23,45,50
53,43,492,43,37,751,27,43,44
33,41,494,57,24,732,25,53,50
57,16,545,73,16,688,15,40,58
38,25,466,46,21,709,16,54,54
59,25,526,54,20,618,29,70,53
46,36,524,48,22,734,31,40,51
39,29,541,54,28,687,19,40,41
60,32,501,60,27,627,23,37,46
44,22,545,47,23,723,22,45,46
48,34,492,61,21,862,21,43,46
55,15,534,49,15,707,31,49,37
59,37,515,64,37,926,28,48,50
50,29,507,53,19,671,27,52,53
42,44,481,56,35,643,20,52,56
50,35,539,55,30,674,22,37,52
42,28,560,57,24,791,17,62,55
39,34,467,64,34,830,17,53,62
55,34,500,38,25,595,26,42,55
51,42,468,52,26,721,20,59,49
36,48,468,47,23,606,27,46,47
42,29,497,62,35,598,18,42,52
54,38,519,61,36,734,19,47,61
52,34,455,64,30,688,13,37,52
37,28,513,58,27,685,22,47,59
56,28,483,60,38,624,16,50,53
40,51,513,63,32,825,29,63,47
44,26,484,49,32,581,16,36,37
73,32,555,56,39,591,27,55,41
39,54,486,54,32,890,22,42,62
45,52,477,49,25,727,26,45,48
56,22,513,50,26,703,21,53,39
55,44,503,46,33,649,27,57,55
53,40,538,58,29,679,23,41,43
49,28,550,49,27,755,27,46,30
41,21,584,56,19,713,18,48,48
50,25,534,64,32,710,17,47,40
60,40,494,48,32,750,22,49,53
56,46,457,60,36,819,18,64,54
48,37,471,43,36,729,26,40,53
58,52,530,58,62,702,21,54,47
46,35,477,48,37,724,18,59,40
57,33,501,45,33,657,22,48,55
57,42,526,45,30,557,26,58,38
60,48,466,45,24,773,27,30,51
53,37,505,56,32,685,24,34,54
42,47,512,52,31,583,16,49,52
47,39,527,48,33,764,19,42,44
61,16,541,59,33,549,27,50,39
60,42,466,51,33,704,20,46,32
43,34,466,57,31,758,18,62,66
46,31,503,54,25,617,16,39,45
57,48,510,61,29,702,23,61,46
52,27,532,49,19,755,26,46,46
51,21,567,48,27,726,14,42,39
34,39,533,51,39,730,17,37,56
58,35,476,46,22,601,18,56,56
47,43,473,57,29,871,11,45,61
61,27,472,46,18,880,11,67,42
54,68,488,40,35,587,24,60,45
45,55,509,55,41,744,16,52,47
51,32,507,49,21,744,24,55,40
47,40,479,63,24,699,21,54,57
63,44,494,45,34,799,17,55,50
61,20,506,55,21,555,24,53,48
46,54,494,76,38,535,23,39,61
56,25,494,30,27,704,25,42,53
52,47,542,42,45,740,19,50,57
46,34,563,62,16,610,31,40,47
46,43,461,49,36,698,22,41,41
61,42,492,57,25,708,31,55,57
51,29,520,57,37,764,23,36,46
45,44,531,64,40,742,17,51,44
52,49,474,54,35,761,30,60,53
50,35,500,53,23,730,11,54,52
50,33,492,39,22,694,23,50,53
66,58,526,48,39,736,26,50,49
51,49,475,57,22,624,30,61,39
46,34,474,51,24,581,23,52,56
53,23,499,71,19,656,17,41,51
54,44,509,66,33,871,24,50,51
33,50,494,58,49,739,15,43,54
60,34,498,53,12,566,20,52,49
53,50,495,55,36,717,24,59,37
43,26,456,45,30,713,23,51,51
46,46,480,53,30,867,25,45,60
51,35,478,58,24,697,15,48,44
63,46,518,51,46,718,14,54,53
53,47,470,68,26,675,24,48,48
34,35,467,64,42,712,16,57,51
53,44,498,48,21,784,26,57,49
38,32,542,37,10,876,26,54,49
46,38,461,63,28,719,27,47,50
49,36,497,52,35,577,20,44,59
45,34,526,54,24,624,23,48,53
57,34,499,57,23,749,31,57,49
58,39,484,51,28,680,20,49,59
37,50,544,51,43,708,20,47,58
49,48,466,54,40,648,18,55,55
59,46,509,51,26,700,19,49,55
47,49,557,53,36,763,22,46,57
44,50,491,63,36,733,20,44,60
45,40,482,45,35,723,22,59,53
44,37,474,59,27,871,21,59,37
54,31,469,53,39,742,23,57,48
34,47,531,48,44,781,23,41,41
50,23,549,60,29,793,31,42,51
50,36,528,46,19,601,16,51,62
49,39,511,39,21,631,22,42,31
48,41,505,47,42,603,14,55,53
50,22,472,58,32,601,28,57,53
43,43,485,72,25,606,29,47,49
57,35,500,54,21,769,18,49,48
50,42,530,59,12,567,24,33,53
53,34,548,61,23,590,26,46,49
53,39,514,66,39,704,21,46,57
58,51,511,43,44,867,23,41,56
55,39,509,59,46,861,29,40,48
61,31,489,46,42,710,21,42,53
43,49,459,59,27,836,23,49,35
46,42,501,46,34,777,23,53,38
49,25,466,52,32,627,27,39,38
62,27,496,36,27,733,25,48,54
49,41,475,58,43,688,25,55,57
45,30,427,59,22,599,17,50,56
69,33,454,61,29,791,29,49,45
66,31,519,41,24,668,20,47,43
50,34,477,65,28,873,19,33,57
36,32,537,56,24,735,26,48,44
44,41,503,55,23,859,19,45,43
55,35,486,58,14,723,19,58,49
57,31,535,52,21,809,26,50,29
53,53,486,48,43,597,19,47,48
55,40,540,50,22,651,16,45,46
72,34,497,56,28,668,26,50,39
51,50,517,71,39,690,19,49,69
47,39,504,53,22,830,24,42,45
40,51,465,54,28,818,26,48,54
56,30,471,50,24,604,36,56,46
55,36,494,50,35,854,30,58,46
71,31,461,44,30,886,18,54,52
38,25,478,49,25,781,22,45,46
40,25,513,56,14,607,28,57,46
56,41,459,53,28,718,25,63,50
48,22,541,50,27,587,32,52,48
43,44,524,54,36,698,30,42,46
52,22,541,76,28,874,23,35,57
44,55,488,56,36,657,20,57,50
47,34,455,57,42,706,25,62,49
37,42,464,64,32,718,23,52,43
60,21,532,61,26,712,23,49,53
46,50,527,63,34,720,13,42,54
60,34,463,46,21,850,28,47,53
59,33,481,49,43,623,25,45,54
47,28,473,60,37,753,24,67,46
50,49,519,55,31,722,14,44,26
46,23,509,54,22,676,18,51,55
59,46,499,68,15,746,15,46,44
55,25,466,60,31,821,34,51,47
49,66,516,58,36,665,27,47,44
44,29,496,41,30,708,23,46,40
65,51,459,58,41,747,30,56,62
47,29,552,49,24,853,26,62,45
49,36,499,62,19,620,22,58,53
53,46,547,53,44,749,18,44,54
60,31,456,45,22,598,28,38,45
45,35,477,45,23,637,17,46,53
45,43,491,55,32,669,25,48,54
45,43,518,55,27,834,17,49,57
46,30,452,45,25,600,16,47,52
51,31,526,66,27,694,20,49,37
54,44,469,50,27,717,25,51,54
57,63,491,52,31,757,22,60,51
46,39,544,45,16,722,19,49,45
50,36,478,59,43,719,18,59,63
52,51,567,56,24,761,25,62,48
55,57,485,57,26,702,23,39,37
50,32,489,57,42,688,27,52,52
44,36,521,73,29,590,22,50,44
40,28,477,47,34,702,14,46,50
55,38,478,47,24,825,21,55,45
34,35,514,43,19,692,20,36,55
53,28,514,54,23,637,21,61,42
47,32,442,29,30,816,19,52,31
47,35,519,59,33,614,23,48,51
43,40,475,49,35,878,27,55,51
43,47,506,50,40,716,25,55,39
37,28,506,62,25,788,26,47,44
41,42,489,44,35,708,22,49,55
49,38,492,51,34,644,23,35,53
44,43,504,55,27,562,25,51,47
47,41,486,48,35,692,17,44,52
65,46,509,58,39,737,32,50,46
44,28,522,45,35,747,16,46,41
42,44,475,51,25,691,20,57,48
57,47,478,42,25,571,25,53,51
50,29,468,56,27,843,37,36,49
59,33,542,38,29,720,22,55,47
69,40,480,55,27,731,25,48,41
56,24,478,65,33,621,26,32,46
55,36,485,61,32,718,19,46,46
44,37,511,64,45,696,11,63,46
69,54,493,50,29,693,22,39,41
52,38,509,60,37,712,20,46,57
53,39,482,53,20,597,26,60,60
47,26,550,59,30,709,18,47,44
40,28,530,52,27,871,23,56,43
53,34,470,56,28,846,20,44,64
59,40,503,60,22,823,25,53,46
35,43,472,75,34,737,17,45,57
41,24,556,62,25,708,14,43,51
46,40,511,68,35,847,19,47,45
65,31,493,52,23,731,21,59,54
57,52,520,49,50,809,23,66,53
41,47,489,47,44,726,15,46,43
64,31,521,40,11,709,26,56,65
55,35,521,65,29,736,25,63,55
45,54,545,60,43,608,26,55,40
43,43,537,49,30,720,26,44,52
47,33,537,46,20,657,24,50,49
49,49,459,67,23,712,22,55,46
59,34,556,60,18,696,24,46,54
44,22,516,44,30,734,22,47,45
30,25,491,51,24,707,22,52,42
53,30,489,44,25,687,25,38,45
46,26,489,53,33,793,17,52,48
30,45,571,57,27,581,29,44,58
69,31,527,66,31,598,24,57,57
64,50,502,61,36,595,19,47,47
48,33,478,65,26,644,20,49,55
45,41,483,50,27,835,35,58,48
56,44,483,49,30,618,16,40,51
39,43,495,45,37,727,15,47,50
63,39,525,50,37,801,20,53,44
62,29,515,54,14,709,19,63,53
56,40,506,58,28,679,28,39,66
64,44,508,61,37,724,18,44,54
59,37,474,56,26,641,14,47,48
49,26,529,74,16,707,19,51,57
63,38,501,55,22,660,20,42,32
47,38,504,53,25,634,27,60,63
30,25,513,63,24,689,17,30,54
46,36,502,66,28,696,27,50,50
47,30,495,44,31,870,28,60,54
47,30,520,46,35,715,29,49,52
48,43,504,48,31,841,27,39,45
44,33,532,60,34,713,15,51,57
42,38,523,48,26,719,26,46,46
51,34,501,55,33,715,28,49,51
67,34,512,37,16,677,21,35,45
47,37,512,52,37,698,18,43,44
42,45,497,62,32,646,17,40,43
49,47,494,43,30,691,15,49,62
52,32,568,63,21,693,32,54,51
46,28,494,55,11,729,22,41,44
49,35,477,55,27,757,23,53,41
55,25,506,65,35,844,22,47,56
52,45,476,56,20,715,34,48,58
65,54,468,54,41,692,25,58,48
65,53,504,65,32,647,30,35,42
50,38,557,60,25,752,20,54,54
70,32,535,39,25,886,22,41,47
47,50,510,51,44,616,28,37,40
56,37,464,62,23,897,34,35,47
66,45,541,61,44,771,22,62,63
59,35,506,49,30,872,21,42,46
40,30,475,64,37,740,27,43,51
37,25,509,35,19,702,28,45,45
51,58,513,53,44,746,16,51,46
51,37,505,60,35,855,17,49,56
48,42,516,48,37,857,17,51,61
47,33,501,61,22,727,25,57,56
46,31,507,72,32,725,23,40,54
50,34,553,57,19,693,32,57,55
37,40,498,47,34,584,25,49,56
45,45,464,43,22,686,32,74,48
52,23,534,58,20,546,20,53,46
54,39,502,76,33,861,20,37,45
49,26,561,53,22,704,25,55,44
54,43,477,50,31,668,29,44,51
64,32,508,47,27,648,31,69,45
43,44,453,61,29,665,25,56,51
39,32,530,69,24,734,29,44,38
47,35,498,58,20,608,15,50,45
47,44,486,54,32,746,26,46,42
42,41,540,58,28,603,22,57,52
58,39,451,57,31,573,19,50,57
41,33,520,52,25,740,23,54,47
57,34,476,55,28,702,25,41,38
45,30,478,47,35,705,23,58,52
44,24,529,53,16,671,29,52,48
41,37,463,49,31,756,27,46,52
35,46,468,70,26,715,19,35,56
44,54,527,54,35,703,24,55,53
41,29,490,56,25,707,21,39,54
54,41,497,42,35,587,21,59,54
63,50,513,53,33,732,22,66,46
31,39,472,48,33,624,20,54,57
61,34,469,58,28,851,22,49,57
57,64,528,54,41,751,18,49,54
53,36,529,42,19,766,17,48,43
41,28,543,63,17,692,25,43,54
61,24,561,48,24,636,23,54,47
49,42,489,33,28,742,28,45,51
50,36,526,49,45,869,22,48,53
49,40,515,53,25,693,19,39,56
55,39,541,58,24,678,25,45,50
66,38,484,49,45,660,17,44,41
75,43,482,48,36,712,29,47,64
48,48,471,53,42,755,28,52,47
55,28,516,56,17,752,29,49,41
49,45,457,35,37,715,20,53,50
57,31,496,41,22,616,21,48,48
47,47,446,61,27,621,19,45,43
49,35,513,49,33,751,16,62,46
49,34,506,37,32,682,23,59,35
60,52,505,66,36,821,20,43,61
42,38,460,51,34,761,23,33,48
52,34,505,39,28,819,20,46,55
46,25,494,37,21,733,23,43,54
